target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Soubility_DMF,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,BalabanJ,TPSA,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_nitro_arom,fr_phos_acid,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.142185569,146.6860352,10.67489243,5.306232929,4.074775696,8.346078873,5.889980793,-6.739500046,-4.734926701,1,-2.351190283,-2.27797083,-2.267599744,-1.945977884,-3.08116477,11.79717358,0.042876462,-0.73851759,0.401562773,44.21428571,384.516,0.303672742,-0.458311346,1.565372447,52.6,0.75,4,0,4,0,0,0,0,7,0,4,0,2,0,3,0,0,4,4.4259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,1.30930829,231.3639221,56.1033287,3.324574471,2.222974062,7.722232342,3.639185667,-5.454729557,-4.780043125,1,-2.394443911,-2.455761417,-2.410627935,-1.971182126,-3.133015502,15.35271764,0.1443086,-1.777512466,0.661485151,48.35483871,434.504,0.302565674,-0.457741701,1.735903941,100.9,0.708333333,4,0,4,0,0,0,0,9,0,6,0,3,0,3,0,0,4,2.3224,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
0,1.316080093,127.0893784,22.50043869,5.164507866,3.864495277,5.778440475,2.946481705,-6.574779987,-5.08825779,0,-2.396578868,-2.450391731,-2.409699939,-2.028156777,-3.39676274,13.39042689,0.163282851,-1.143757251,0.14091025,14.17777778,610.671,0.511146001,-0.464935725,1.222997079,143.34,0.333333333,1,0,1,0,3,2,5,1,0,11,2,10,0,1,0,1,6,6.3191,0,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1989851,99.13043213,3.139575958,4.878258705,3.905359745,10.40284252,7.452599049,-6.720593452,-4.473101139,0,-2.468606146,-2.509134813,-2.500508675,-1.957851029,-3.60761681,13.07685285,0.124265943,-0.710687589,0.42462079,15.88235294,452.598,0.316145299,-0.465313584,1.53554213,53.33,0.333333333,0,1,1,0,3,0,3,0,0,4,1,8,1,1,0,0,4,5.48328,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.013218164,62.10421753,-29.97753906,8.717923164,7.208295822,8.652481079,5.972588539,-7.258248806,-4.676346302,1,-2.543837169,-2.482601275,-2.582860987,-2.19322593,-3.282987303,12.86569028,0.073388867,-0.632497768,0.094867473,19.05714286,495.745,0.328410844,-0.460986361,2.577995274,81.7,0.896551724,0,1,1,1,0,0,0,4,0,5,1,23,1,1,0,0,1,6.8819,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
0,1.069890857,146.928833,12.91153336,5.770781517,3.727270126,9.761234283,8.053347588,-7.22317791,-5.118985176,1,-2.585951782,-2.593429711,-2.565644126,-2.149281848,-3.383987657,12.54410608,0.085363712,-0.597086268,0.671999392,37.89655172,404.547,0.308430805,-0.462187767,1.74016958,72.83,0.75,2,1,3,0,0,0,0,8,0,5,1,6,1,1,0,0,3,4.1955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1.275840044,68.63191986,-19.00579834,3.757606506,0.740162373,4.506430626,5.176351547,-3.486519814,-4.677839756,1,-2.109771396,-2.018398271,-2.169373662,-1.686783061,-3.056108679,10.92852627,0.537663559,-0.840869342,0.889352701,11.83333333,242.274,0.310187723,-0.480788489,2.200423047,46.53,0.133333333,0,0,0,0,2,0,2,1,0,2,0,4,0,0,0,1,2,3.667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.275965452,195.7629395,28.56364822,6.372309685,3.665420532,10.3309536,7.637362003,-6.277430534,-5.013541222,0,-2.387806471,-2.533229302,-2.507812684,-1.975453408,-3.458233311,13.46556163,0.02677085,-0.251125461,0.374712747,15.38235294,461.556,0.326214802,-0.305531078,1.205663438,41.03,0.321428571,0,1,1,0,3,1,4,0,0,3,2,7,1,1,0,0,5,5.857,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
0,1.333383322,179.0380402,51.52695084,5.259846687,2.579954863,5.057032585,4.42029953,-6.491796017,-5.225990772,0,-2.788697162,-2.985677694,-2.931776676,-2.502310568,-3.814080664,12.90130571,0.022130759,-4.039914891,0.278693299,13.73170732,575.687,0.411390863,-0.496439408,1.350688792,115.73,0.290322581,1,0,1,2,3,1,4,0,0,7,1,8,0,1,0,0,5,5.69592,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1.246045947,263.2525635,12.85765457,3.210713148,2.255195141,8.9856987,4.312498093,-3.930224419,-4.660138607,1,-2.253445261,-2.415347819,-2.397299138,-1.97539749,-3.089972206,16.6345531,0.086539155,-1.692083333,0.713251041,57,336.447,0.155201025,-0.389725722,1.820154998,57.53,0.85,4,0,4,0,0,0,0,7,0,3,0,0,0,3,0,0,4,3.3322,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
0,1.108276486,137.9337158,18.04352951,6.020030022,3.764595032,10.32838058,7.372608185,-7.08200407,-5.215502739,1,-2.570346133,-2.577824062,-2.550986169,-2.133676199,-3.3693297,12.86586534,0.094948612,-0.601027192,0.639062275,36.53333333,418.574,0.31128691,-0.462187767,1.761277111,72.83,0.76,2,1,3,0,0,0,0,7,0,5,1,6,1,1,0,0,3,4.5856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1.143624783,109.8889618,33.01200485,6.3163414,4.472715855,10.12145233,6.132736683,-6.191498756,-4.849322796,0,-2.336013795,-2.236573264,-2.34684612,-1.883802281,-3.142336155,11.05945021,0.105213226,-0.900899453,0.728371386,40.7037037,364.529,0.130335878,-0.490433732,1.396473896,29.46,0.68,4,0,4,0,1,0,1,5,0,2,0,2,0,3,0,0,5,5.2284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,1.546229959,131.8922272,53.51347733,5.177711487,3.58205986,5.150089741,2.915596485,-7.254044056,-5.100037575,0,-2.599243222,-2.8418182,-2.734834004,-2.121901518,-3.688544744,15.4587029,0.195174687,-5.185931055,0.100970402,17.671875,968.296,0.434963739,-0.345750942,1.451812741,157.94,0.384615385,2,0,2,1,2,3,5,3,0,10,3,11,0,1,0,0,7,7.6628,0,0,0,0,0,0,0,5,2,0,0,0,1,0,4,11,0,0,0,0,0,0,0,0,1,1,0
0,1.367186546,106.7214661,66.34039307,5.421638489,2.505242586,9.74915123,8.675092697,-6.918245316,-5.699865818,0,-2.708087998,-2.876050638,-2.864782485,-2.223084677,-3.824614445,14.97650319,0.132929796,-4.810182769,0.226870577,13.95121951,562.571,0.434701779,-0.32649624,1.494141309,108.76,0.233333333,1,0,1,1,3,1,4,1,0,6,1,9,0,1,0,0,5,5.70188,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,1.404833674,202.6455688,78.22158813,4.874186039,4.100560188,9.35310173,4.59082365,-6.148019791,-4.746010303,0,-2.431932777,-2.654933205,-2.7449154,-2.235024132,-3.548899025,14.99233512,0.001828312,-0.815402892,0.238033232,12.35714286,571.559,0.200475475,-0.487940498,1.591700044,109.06,0.161290323,0,0,0,0,3,3,6,1,0,8,3,6,0,0,0,0,6,6.6627,0,0,1,0,0,0,0,4,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
0,1.408346653,174.9943542,42.19870377,4.514464378,4.14592123,9.419975281,4.417198181,-5.655649185,-4.422782898,0,-2.540211904,-2.455860602,-2.493205133,-1.802569434,-3.413353408,12.58076436,0.210183829,-0.737083333,0.796446128,17.28,384.259,0.336240327,-0.465580051,2.73893106,64.63,0.333333333,0,1,1,0,1,0,1,1,0,5,1,4,0,0,0,1,2,3.9643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1.50917995,196.0196533,63.26583481,4.137287617,2.635443449,8.297517776,4.270636559,-5.598104477,-4.861855507,1,-2.803304231,-3.017047946,-2.929613279,-2.308545151,-3.863391313,14.74140885,0.033263666,-4.861183741,0.347500779,24.62790698,603.523,0.405533869,-0.340161582,1.280722192,104.29,0.344827586,1,2,3,3,1,2,3,4,0,5,4,4,1,1,1,0,6,3.9479,0,0,0,0,0,0,0,3,2,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0
0,1.271924138,126.3268127,35.79221725,6.488556862,3.576687098,5.205115318,5.77665329,-7.493288994,-4.930091381,1,-2.621021011,-2.421307026,-2.47519199,-2.085784103,-3.698477039,11.48207768,0.081439384,-0.911076326,0.173564386,15.31707317,586.197,0.303436762,-0.481214805,1.371263876,70.42,0.314285714,1,0,1,0,3,1,4,1,0,4,1,12,0,1,0,0,5,8.948,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,1.577991486,162.4928894,56.57398605,2.240115404,1.705740452,8.596095085,2.36827755,-4.690536499,-4.627254963,1,-2.00736737,-2.16721271,-2.431943883,-1.786638712,-3.142826974,14.38018487,0.051293724,-3.866796308,0.87887549,21.92307692,383.347,0.175408084,-0.456805201,2.168971196,87.39,0.235294118,1,0,1,0,2,0,2,3,0,5,0,3,0,0,0,0,3,3.28888,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
