target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MinAbsPartialCharge,BalabanJ,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHDonors,NumSaturatedCarbocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_phos_acid,fr_phos_ester,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.303137422,115.5025711,28.28989792,3.811827183,4.067303658,8.893110275,6.420065403,-4.786849499,-5.068730354,0,-2.444963003,-2.500063349,-1.866141133,-3.479091563,13.26682134,0.135772156,-0.876714489,0.329448553,15.62857143,479.533,0,0.336296878,-0.465580056,0.336296878,1.839003616,0.307692308,0,1,0,2,0,2,1,0,1,0,0,0,1,3,3.6778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1.291975021,145.176178,16.21640396,3.601984024,2.159793615,5.43759203,3.058495998,-4.869976997,-4.902662277,1,-2.663041532,-2.849252922,-2.227945165,-3.680383324,11.5140623,0.205514446,-3.565834628,0.379572117,11.42857143,496.633,0,0.258901914,-0.37160306,0.258901914,1.686424764,0.346153846,0,0,1,2,1,3,0,0,1,0,0,0,0,3,3.898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1.525232553,186.378479,84.74185181,1.661145687,0.333415508,3.996977806,7.078730106,-2.534798384,-6.136458874,1,-2.594011488,-2.695322337,-2.289292177,-3.346909153,13.49333223,0.001835212,-2.625690429,0.39837156,29.09090909,457.483,0,0.255450836,-0.50965062,0.255450836,1.977420193,0.434782609,3,0,1,1,0,1,4,0,5,0,0,0,0,4,0.1866,0,3,0,0,0,1,0,1,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0
0,1.381792545,268.4275818,51.89260483,2.032385826,1.6352036,8.559240341,2.944908619,-3.574213266,-5.183263779,1,-2.367847885,-2.435320334,-1.972249339,-3.106292379,16.77743063,0.013461436,-2.232025883,0.545907214,52.53571429,394.439,0,0.192313337,-0.389712402,0.192313337,1.837691879,0.714285714,4,0,0,0,0,0,8,0,4,3,3,0,0,4,0.6205,0,4,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
0,1.312021375,216.8697815,35.25703812,2.025216579,1.85697937,7.648000717,4.3985672,-6.37997818,-6.497942924,1,-2.910355962,-3.095160324,-2.583157256,-3.728229668,15.18304278,0.076303049,-1.883873546,0.117861158,26.22222222,1255.438,0,0.328962492,-0.458367475,0.328962492,1.320824187,0.612903226,1,5,10,1,0,1,10,0,5,0,4,0,0,7,0.72564,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0
0,1.434623599,284.730896,80.52009583,2.4634161,3.34391284,7.985620022,4.510538101,-4.220544815,-4.930529118,1,-2.342952568,-2.224078604,-1.835219187,-3.129664134,12.53060264,0.037140443,-1.168657407,0.614448228,15.76,332.311,0,0.339675439,-0.50782238,0.339675439,1.912405935,0.05,0,2,0,3,0,3,0,0,2,0,0,1,0,5,3.6658,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,1.065163612,79.7604599,0.465309143,6.254435539,4.476673126,8.081899643,5.075683594,-6.506260872,-4.401737213,0,-2.390767106,-2.408751789,-1.995215459,-3.023673489,12.46965597,0.029370368,0.029370368,0.382549639,41.20689655,400.603,0,0.305574447,-0.461769754,0.305574447,1.428693514,0.846153846,4,0,0,0,0,0,6,0,0,3,3,0,0,4,6.4005,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3
0,1.315665007,236.4186096,63.91345596,2.519204378,2.56974864,9.700092316,7.195209026,-3.460738897,-5.205816269,1,-2.796611135,-2.978935063,-2.369173877,-3.796426663,12.62506885,0.027898553,-0.08603547,0.639215305,20.63636364,446.559,0,0.267593465,-0.367721294,0.267593465,1.285920324,0.5,1,2,1,0,3,3,0,0,2,1,2,1,0,6,2.7245,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,1.119432449,123.0950623,5.442989349,3.423948288,2.197642565,10.48390198,7.920258522,-3.503161907,-4.690142155,1,-2.770887393,-2.870254369,-2.211565037,-3.706228446,12.60440571,0.044172336,0.044172336,0.910996283,19.85,274.408,0,0.241244516,-0.324234949,0.241244516,2.098541474,0.588235294,0,1,1,1,0,1,1,0,1,0,1,0,0,2,3.50644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.335837841,200.8852997,40.61617661,2.959712505,3.033623695,8.480323792,6.57540369,-4.429334641,-4.631867409,1,-2.400998661,-2.506964708,-2.111833576,-3.43702928,13.32945766,0.146500352,-3.698090545,0.553404611,15.87878788,474.587,0,0.276858411,-0.493112565,0.276858411,1.851702472,0.5,0,1,0,1,2,3,0,0,1,0,1,0,0,4,1.6109,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1.28333962,132.4459076,-2.616535187,1.660793424,0.19906044,10.0976429,1.427037716,-2.083569288,-4.902454376,1,-2.72881116,-2.867432223,-2.312653105,-3.674076093,11.39648526,0.045092593,0.045092593,0.638544183,16.23076923,174.203,0,0.252619319,-0.272116338,0.252619319,2.326238618,0.2,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1.7992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.227101326,201.1912537,14.31057358,3.41991353,2.917021751,8.80060482,4.855683327,-4.297779083,-4.538131714,1,-2.639921107,-2.548805035,-2.13785791,-3.244811439,11.73036014,0.025032455,-0.261628834,0.642105611,47,300.398,0,0.305844992,-0.459049041,0.305844992,1.683439676,0.684210526,3,1,0,0,0,0,5,0,0,2,3,0,0,4,3.5899,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.458075881,181.9725342,64.72450256,0.648465872,-0.489123344,5.135091782,2.672561169,-2.698591232,-5.014262676,1,-2.5149354,-2.648921175,-2.258822792,-3.597695749,11.88854308,0.117919501,-3.644814815,0.804736707,11.35294118,253.283,0,0.262637665,-0.398727717,0.262637665,2.276726284,0.1,0,0,0,1,1,2,0,0,2,0,0,0,0,2,1.36602,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.315651298,165.3052979,40.51491928,2.218134403,2.108501196,8.926907539,8.417259216,-4.162451744,-5.066563129,1,-2.331446216,-2.536546105,-2.144654629,-3.439217229,13.39145513,0.160541793,-0.302883313,0.657745219,18.06666667,410.493,0,0.256480374,-0.355890959,0.256480374,1.232849231,0.52173913,0,2,0,1,2,3,0,0,0,0,1,0,0,5,3.59042,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
0,1.494962573,152.3076019,44.06579971,2.891043425,2.668344021,10.72644043,5.24239254,-4.983085632,-4.772041321,1,-2.549652621,-2.597950879,-2.102065113,-3.590265989,11.75556051,0.255629882,-0.281498488,0.572269538,15.25,439.313,0,0.305098308,-0.468994298,0.305098308,1.927797776,0.238095238,0,1,0,1,2,3,1,0,0,0,0,0,0,4,4.18352,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
0,1.051116347,76.44438934,-7.316108704,7.198984146,5.235046864,8.57084465,4.826720238,-6.783349037,-4.466636658,0,-2.390767106,-2.408751789,-1.995215459,-3.023673489,12.68054647,0.043148075,0.043148075,0.247237814,37.66666667,456.711,0,0.305574447,-0.461769754,0.305574447,1.270831474,0.866666667,4,0,0,0,0,0,6,0,0,3,3,0,0,4,7.9609,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,7
